checkpoint,seed,num_layers,sweep_order,step_index,blocked_layers,num_blocked_layers,n_examples,exact_answer_correct,o0_correct,o1_correct,exact_answer_accuracy,o0_token_accuracy,o1_token_accuracy,elapsed_seconds,examples_per_second,max_forbidden_attn_weight
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,0,,0,2017,2007,2016,2007,0.9950421417947447,0.9995042141794744,0.9950421417947447,2.859537583000929,705.3588006642908,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,1,0,1,2017,2007,2016,2007,0.9950421417947447,0.9995042141794744,0.9950421417947447,2.9899120000009134,674.6017943000944,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,2,"0,1",2,2017,1448,1897,1474,0.7178978681209718,0.940505701536936,0.7307882994546356,3.0218870829994557,667.4637220388698,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,3,"0,1,2",3,2017,1180,1852,1209,0.585027268220129,0.918195339613287,0.5994050570153694,3.143780833001074,641.584164782428,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,4,"0,1,2,3",4,2017,925,1845,956,0.458601883986118,0.9147248388696083,0.4739712444224095,3.2525124159983534,620.1359878224739,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,5,"0,1,2,3,4",5,2017,888,1828,919,0.4402578086266733,0.9062964799206743,0.4556271690629648,3.452800250001019,584.1635350899331,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,6,"0,1,2,3,4,5",6,2017,795,1767,832,0.39414972731779874,0.8760535448686168,0.41249380267724345,4.150024332997418,486.02124666174933,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,7,"0,1,2,3,4,5,6",7,2017,749,1746,789,0.3713435795736242,0.8656420426375806,0.3911750123946455,4.400465333001193,458.3606158361373,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,8,"0,1,2,3,4,5,6,7",8,2017,710,1737,755,0.3520079325731284,0.8611799702528508,0.3743182944967774,3.653290707999986,552.1049818409381,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,9,"0,1,2,3,4,5,6,7,8",9,2017,672,1692,722,0.3331680713931582,0.8388696083292018,0.3579573624194348,3.82123941700047,527.8392112848217,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,forward,10,"0,1,2,3,4,5,6,7,8,9",10,2017,658,1679,709,0.3262270699058007,0.8324243926623699,0.3515121467526029,3.881312124998658,519.6696207473129,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,reverse,0,,0,2017,2007,2016,2007,0.9950421417947447,0.9995042141794744,0.9950421417947447,3.0261132500017993,666.5315648708126,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,reverse,1,9,1,2017,2007,2016,2007,0.9950421417947447,0.9995042141794744,0.9950421417947447,3.333374833000562,605.0924666591974,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,reverse,2,"8,9",2,2017,2007,2016,2007,0.9950421417947447,0.9995042141794744,0.9950421417947447,3.339163542001188,604.0434901224381,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,reverse,3,"7,8,9",3,2017,2007,2016,2007,0.9950421417947447,0.9995042141794744,0.9950421417947447,3.6180611659983697,557.4809013609995,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,reverse,4,"6,7,8,9",4,2017,2006,2016,2006,0.9945463559742191,0.9995042141794744,0.9945463559742191,3.5325176660007855,570.980867105889,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,reverse,5,"5,6,7,8,9",5,2017,2006,2016,2006,0.9945463559742191,0.9995042141794744,0.9945463559742191,3.4565230420012085,583.5343712426769,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,reverse,6,"4,5,6,7,8,9",6,2017,2006,2016,2006,0.9945463559742191,0.9995042141794744,0.9945463559742191,3.7442097919993103,538.6984469486616,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,reverse,7,"3,4,5,6,7,8,9",7,2017,1985,1995,1995,0.984134853743183,0.9890927119484383,0.9890927119484383,3.7392622499974095,539.4112167450671,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,reverse,8,"2,3,4,5,6,7,8,9",8,2017,1932,1977,1950,0.9578582052553297,0.9801685671789787,0.9667823500247893,3.6448993339981826,553.3760510712107,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,reverse,9,"1,2,3,4,5,6,7,8,9",9,2017,776,1692,828,0.3847297967278136,0.8388696083292018,0.4105106593951413,3.8148724169986963,528.7201718758527,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,reverse,10,"0,1,2,3,4,5,6,7,8,9",10,2017,658,1679,709,0.3262270699058007,0.8324243926623699,0.3515121467526029,4.2063794169989706,479.50976363397643,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,forward,0,,0,2164,2164,2164,2164,1.0,1.0,1.0,3.244587542001682,666.9568849620141,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,forward,1,0,1,2164,2164,2164,2164,1.0,1.0,1.0,3.388781542002107,638.5776047167382,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,forward,2,"0,1",2,2164,1501,2127,1507,0.69362292051756,0.982902033271719,0.6963955637707948,3.4535600839990366,626.5997832283851,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,forward,3,"0,1,2",3,2164,1133,2109,1141,0.5235674676524954,0.9745841035120147,0.527264325323475,3.648155000002589,593.1765508862601,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,forward,4,"0,1,2,3",4,2164,889,2026,905,0.4108133086876155,0.9362292051756007,0.4182070240295749,3.6536202499992214,592.2892506413224,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,forward,5,"0,1,2,3,4",5,2164,786,1984,810,0.3632162661737523,0.9168207024029574,0.37430683918669133,3.801793374997942,569.2050531286886,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,forward,6,"0,1,2,3,4,5",6,2164,762,1969,787,0.3521256931608133,0.9098890942698706,0.36367837338262476,4.000067832999775,540.9908257423597,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,forward,7,"0,1,2,3,4,5,6",7,2164,719,1947,750,0.3322550831792976,0.8997227356746765,0.3465804066543438,4.025588458000129,537.5611597105614,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,forward,8,"0,1,2,3,4,5,6,7",8,2164,695,1920,729,0.3211645101663586,0.8872458410351202,0.33687615526802217,4.204014874998393,514.746037857639,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,forward,9,"0,1,2,3,4,5,6,7,8",9,2164,695,1918,729,0.3211645101663586,0.8863216266173752,0.33687615526802217,4.241688082998735,510.17424140016504,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,forward,10,"0,1,2,3,4,5,6,7,8,9",10,2164,689,1913,724,0.3183918669131238,0.884011090573013,0.3345656192236599,4.4104850409967185,490.64898302227573,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,reverse,0,,0,2164,2164,2164,2164,1.0,1.0,1.0,3.3689265829998476,642.3410978796322,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,reverse,1,9,1,2164,2164,2164,2164,1.0,1.0,1.0,3.319255415997759,651.9534440074139,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,reverse,2,"8,9",2,2164,2164,2164,2164,1.0,1.0,1.0,3.55395483400207,608.8991281757914,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,reverse,3,"7,8,9",3,2164,2164,2164,2164,1.0,1.0,1.0,3.7236404579998634,581.151704738535,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,reverse,4,"6,7,8,9",4,2164,2164,2164,2164,1.0,1.0,1.0,3.748421750002308,577.3096370488906,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,reverse,5,"5,6,7,8,9",5,2164,2164,2164,2164,1.0,1.0,1.0,3.7834485830026097,571.964955390675,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,reverse,6,"4,5,6,7,8,9",6,2164,2164,2164,2164,1.0,1.0,1.0,3.797527375001664,569.8444767627387,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,reverse,7,"3,4,5,6,7,8,9",7,2164,2151,2151,2151,0.993992606284658,0.993992606284658,0.993992606284658,4.027753959002439,537.2721427442807,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,reverse,8,"2,3,4,5,6,7,8,9",8,2164,2052,2127,2054,0.9482439926062847,0.982902033271719,0.9491682070240296,4.018987709001522,538.4440452886145,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,reverse,9,"1,2,3,4,5,6,7,8,9",9,2164,743,1935,780,0.3433456561922366,0.8941774491682071,0.36044362292051757,4.5133037910018174,479.4713806578611,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,reverse,10,"0,1,2,3,4,5,6,7,8,9",10,2164,689,1913,724,0.3183918669131238,0.884011090573013,0.3345656192236599,4.267340124999464,507.107457247803,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,forward,0,,0,1857,1857,1857,1857,1.0,1.0,1.0,2.849395375000313,651.7172086024727,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,forward,1,0,1,1857,1857,1857,1857,1.0,1.0,1.0,2.9652003750015865,626.2645909718686,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,forward,2,"0,1",2,1857,1450,1692,1501,0.78082929456112,0.9111470113085622,0.8082929456112009,2.9552206250009476,628.3794801274455,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,forward,3,"0,1,2",3,1857,1053,1649,1088,0.567043618739903,0.8879913839526118,0.5858912224017232,3.0884817500009376,601.2663018000467,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,forward,4,"0,1,2,3",4,1857,932,1644,960,0.501884760366182,0.8852988691437803,0.5169628432956381,3.1253554169998097,594.1724227264464,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,forward,5,"0,1,2,3,4",5,1857,841,1618,872,0.45288099084544964,0.8712977921378567,0.46957458266020463,3.2622579589988163,569.2376333629703,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,forward,6,"0,1,2,3,4,5",6,1857,761,1578,800,0.4098007539041465,0.8497576736672051,0.4308023694130318,3.4677742090025276,535.5019929438106,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,forward,7,"0,1,2,3,4,5,6",7,1857,707,1551,748,0.3807215939687668,0.8352180936995154,0.4028002154011847,3.5329717919994437,525.619820742767,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,forward,8,"0,1,2,3,4,5,6,7",8,1857,658,1504,705,0.3543349488422186,0.8099084544964997,0.37964458804523427,3.603211250003369,515.3736129121665,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,forward,9,"0,1,2,3,4,5,6,7,8",9,1857,616,1452,669,0.33171782444803444,0.7819063004846527,0.3602584814216478,3.7106581250009185,500.4503075851377,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,forward,10,"0,1,2,3,4,5,6,7,8,9",10,1857,589,1439,647,0.31717824448034465,0.7749057619816909,0.34841141626278943,3.8106519170032698,487.3181913346631,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,reverse,0,,0,1857,1857,1857,1857,1.0,1.0,1.0,2.9480194999996456,629.9144222079342,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,reverse,1,9,1,1857,1857,1857,1857,1.0,1.0,1.0,2.929635791999317,633.8671875430285,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,reverse,2,"8,9",2,1857,1857,1857,1857,1.0,1.0,1.0,3.032294708002155,612.4074929456627,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,reverse,3,"7,8,9",3,1857,1857,1857,1857,1.0,1.0,1.0,3.141770624999481,591.0679746075692,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,reverse,4,"6,7,8,9",4,1857,1857,1857,1857,1.0,1.0,1.0,3.344952708001074,555.1647996571328,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,reverse,5,"5,6,7,8,9",5,1857,1856,1856,1857,0.9994614970382337,0.9994614970382337,1.0,3.395770333998371,546.85677102711,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,reverse,6,"4,5,6,7,8,9",6,1857,1853,1854,1856,0.9978459881529348,0.9983844911147012,0.9994614970382337,3.6349801670003217,510.86936233064614,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,reverse,7,"3,4,5,6,7,8,9",7,1857,1783,1812,1819,0.9601507808292946,0.975767366720517,0.979536887452881,3.658440832998167,507.5932848907524,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,reverse,8,"2,3,4,5,6,7,8,9",8,1857,1532,1733,1589,0.8249865374259558,0.93322563274098,0.8556812062466344,3.874452083000506,479.29357757390994,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,reverse,9,"1,2,3,4,5,6,7,8,9",9,1857,601,1444,661,0.3236402800215401,0.7775982767905224,0.3559504577275175,3.7666667500016047,493.0088386500369,0.0
checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,reverse,10,"0,1,2,3,4,5,6,7,8,9",10,1857,589,1439,647,0.31717824448034465,0.7749057619816909,0.34841141626278943,3.752932833998784,494.8130121533109,0.0
